1027380,4819,778245
1027380,4814,2357268
1027380,4814,2344974
1027380,4811,2357271
1027380,4811,2344977
1027380,4811,2351107
1027380,4810,1957906
1027380,4810,1964036
1027380,4810,1964033
1027380,4809,3131417
1027380,4808,3524609
1027380,4803,1957913
1027380,4803,1964043
1027380,4803,1964040
1027380,4802,1181462
1027380,4802,1181457
1027380,4793,1957923
1027380,4793,1964053
1027380,4793,1964050
1027380,4789,1957927
1027380,4789,1964057
1027380,4789,1964054
1027380,4785,2744369
1027380,4785,2738205
1027380,4785,2738202
1027380,4784,1181480
1027380,4784,1181475
1027380,4784,1187858
1027380,4782,2357300
1027380,4782,2345006
1027380,4782,2351136
1027380,4778,1181486
1027380,4778,1181481
1027380,4778,1187864
1027380,4773,3524644
1027380,4773,3530787
1027380,4766,1181498
1027380,4766,1181493
1027380,4766,1187876
1027380,4765,2357317
1027380,4765,2345023
1027380,4765,2351153
1027380,4763,3524654
1027380,4763,3530797
1027380,4763,3530762
1027380,4763,2151489
1027380,4763,2157619
1027380,4763,2157616
1027380,4759,1957957
1027380,4759,1964087
1027380,4759,1964084
1027380,4755,1181509
1027380,4755,1181504
1027380,4755,1187887
1027380,4755,3131471
